==============================================================================
REZDY ROUND 1 -- SUPPLIER TEXT vs WHAT WE EXTRACTED
==============================================================================

100 products, the HARDEST in the catalogue (16-55 headings each).
Prompt: SYSTEM_PROMPT_RZ_DESC_V1_2

HOW TO READ A BLOCK
------------------------------------------------------------------------------
  SUPPLIER TEXT   what the model was given. This is the supplier's own
                  words with their HTML formatting restored as plain
                  marks -- '## ' a heading tag, '**bold**', '- ' a list
                  item, '[text](url)' a link. Nothing added or removed;
                  verified word-for-word on all 9,361 products.
  EXTRACTED       the fields that were filled, and their exact contents.
  EMPTY           fields left blank. A blank is the rule WORKING: the
                  supplier wrote no heading naming that field, so the
                  text stayed in ABOUT. It does not mean text was lost.
  FLAGS           the model's own notes on anything it moved.

THE TWO NUMBERS ON EVERY PRODUCT
------------------------------------------------------------------------------
  RETENTION   share of the supplier's distinct words that appear
              SOMEWHERE in our output. This is the content-loss measure.
              It CANNOT see a word that survived in the WRONG field --
              that is what the issue list is for. On Fareharbor, 11 of 13
              defects in one run lost no text at all, so high retention
              is necessary but not sufficient.
  FILL RATE   share of the 21 fields that got content. LOW IS OFTEN
              CORRECT: a field only fills when the supplier wrote a
              heading for it, and about half of Rezdy products write few
              or none. A low fill rate with high retention means the text
              is all present, sitting in ABOUT, exactly as intended.

RUN TOTALS
------------------------------------------------------------------------------
  mean retention     98.8%       (worst 91.2%, best 100.0%)
  products >= 95%    99 / 100
  products >= 99%    57 / 100
  mean fill rate     24.1%       (5.1 of 21 fields on average)
  no findings        44 / 100 products
  findings by type  NO HEADING 54, DUPLICATED 35, CONTENT LOSS 19, REWORDED 17, URL LOST 1, MID-SENTENCE 1

  For comparison, the OLD method (Step 1) retained 71.8% of the same
  suppliers' words across these same 100 products.

INDEX -- worst retention first
------------------------------------------------------------------------------
  PRODUCT    SUPPLIER                HEAD  RETAIN  FILLED  ISSUES
      Accommodation Information: When booking twin-share accommodation, please specify your preferred bedding configuration: either 1 double or 2 single beds. Solo travellers booking twin share must choose the 2 single beds option.

  [IMPORTANT INFO]
      A few extra things that are good to know.
      Wetsuit and all snorkel gear for the cuttlefish activity are provided
      You will need to bring your own warm towel and dry clothes to change into after the cuttlefish swim (change rooms on site)
      We recommend you wear good quality footwear for the trails at Alligator Gorge
      This is a WINTER activity and it could be cold so warm clothes are highly recommended
      Also, don't forget your camera, sunscreen, sunhat, sunglasses and rain coat
      This tour is NOT available for children under the age of 12 years
      All children under the age of 18 must be accompanied by a fare paying adult
      No snorkelling experience required; however, participants must know how to swim
      A registration and risk release form must be filled out by each participant prior to the Giant Cuttlefish snorkel activity
      Itinerary is subject to change
      Please note: A strict luggage limit of 1 bag per person (up to 15 kilograms) applies

  [HIGHLIGHTS]
      This small group tour is led by an experienced, qualified and passionate PureSA guide.
      Quality wetsuits and snorkel gear are provided and the swim is preceded by a full safety briefing. Small group numbers mean more support and guidance throughout the snorkel experience.
      Enroute, we take the opportunity to experience other amazing South Australian attractions; Clare Valley, Alligator Gorge in the Mount Remarkable National Park and Lake Bumbunga Lochiel.
      Travel out of Adelaide and onto the picturesque region of the Southern Flinders Ranges before arriving in Whyalla. The return journey also allows for a photo opportunity at Lochiel, home to the famous pink lake.
      The tour is inclusive of all national park fees, licensing and donations that help the maintenance and conservation of these beautiful natural areas
      Swim with the Giant Cuttlefish, twice!
      Visit to the Clare Valley, one of South Australia's beautiful wine regions
      Tour the Historical Anlaby Station grounds
      Hike the popular trails of the picturesque Alligator Gorge in Mount Remarkable National Park
      Overnight stay in the oldest town in the Flinders Ranges - Melrose
      Visit historic Old Stone Hut Bakery
      View the famous pink lake at Lochiel

  [WHAT'S INCLUDED]
      Fresh local meals are included and will keep you fuelled for your adventures! See specific itinerary for more details.
      Return transport from Adelaide
      Experienced tour driver
      Qualified snorkel guide
      Anlaby Station house and garden tour
      Wine tasting in Clare Valley
      Clare Valley Restaurant Lunch
      National Park Entry fees
      Fully guided cuttlefish snorkel
      Hire of wetsuit and snorkel gear
      Wadlata Tunnel of Time’ entry fee
      Overnight accommodation in Melrose
      Overnight accommodation in Whyalla
      Meals – 2 breakfast | 3 lunch | 2 Dinner
      Daily morning and/or afternoon tea

  [ITINERARY]
      Itinerary Day 1: Embark on a journey from Adelaide: Departing from Adelaide witness the change of scenery as you leave the city behind and travel through a landscape of fields and quaint country towns, setting the stage for a day filled with exploration and discovery.
      Anlaby Station - A Heritage Gem: Our first stop is the iconic Anlaby Station, a pivotal piece of South Australia's history. Home to the state's oldest Merino stud, this heritage property dates back to 1860. Immerse yourself in the past as you tour the impeccably preserved homestead and stroll through the picturesque gardens. Indulge in a delightful morning tea, offering a taste of the elegance and heritage that defines Anlaby Station.
      Journey Through Clare Valley - A Wine Wonderland: Continuing north, our route takes us to Clare Valley, a wine lover's paradise with over 160 years of winemaking tradition. Renowned for its Riesling and other red varietals, Clare Valley boasts picturesque vineyards and cellar doors. As we traverse this exceptional wine region, take in the scenic beauty and learn about the artistry behind the wines produced in this historic locale. Amidst this scenic landscape, we'll also pause for a leisurely lunch at one of the region's esteemed restaurants.
      Arrival in Melrose: In the late afternoon, we reach the charming town of Melrose, nestled in the Southern Flinders Ranges. Positioned at the base of Mount Remarkable, Melrose is the oldest town in the Flinders Ranges. Check into your accommodation and unwind, surrounded by the serene ambiance of this historic town. Enjoy some free time before heading out to the local pub for a casual group dinner.
      Itinerary Day 2: Explore the incredible Alligator Gorge: After a quick breakfast, we set off early to explore Alligator Gorge, home to one of the most popular and scenic walking trails in Mount Remarkable National Park. Marvel at the rugged cliffs, stunning natural landscapes, and picturesque trails. Enjoy a leisurely picnic lunch surrounded by the unique beauty of Alligator Gorge, immersing yourself in the serenity of this remarkable location.
      Journey to Whyalla – Home of the Giant Cuttlefish: Following lunch, we board the bus and head to Whyalla, the home of the Giant Cuttlefish. Arriving at Stony Point, the best location to observe these fascinating creatures, you will be fitted out with wetsuits and snorkelling gear. Before entering the water with your snorkelling guides, receive a comprehensive experience and safety briefing.
      Snorkelling Adventure with Giant Cuttlefish: Swimming just a few metres from shore, you'll start to encounter these unique and wonderful creatures in their natural environment. Observe their graceful gliding among the rocks and sea plants as you witness their changing shapes and colours. Back on shore, you'll change into warm clothes and enjoy a hot drink while reflecting on your amazing cuttlefish experience.
      Relax: In Whyalla: Buzzing with excitement from your first cuttlefish experience we will hop back on the bus and head into Whyalla for a well-deserved dinner and sleep. Making a quick stop at Point Lowly Lighthouse for a photo opportunity along the way before making our way to your accommodation for the night.
      Itinerary Day 3: Morning Snorkelling Session: After a delicious dinner and a good night's rest it'll be back onto the bus for another round of snorkelling, because we believe once just is not enough. Back onto Stony Point dive site you will have the opportunity to once again swim with the cuttlefish during the morning.
      Homeward Bound: Following the morning snorkel session, bid farewell to the Eyre Peninsula as we make our way back to Adelaide. Our journey includes a stop at the Wadlata Outback Centre, where you can take a walk through the Tunnel of Time, transporting you back in history to learn about the creation of the Flinders Ranges and the Outback.
      Lunch at Stone Hut: Our next stop is Stone Hut, where we'll pause at the Old Stone Hut Bakery for a delightful lunch. Take a moment to visit the aviary next to the bakery and greet the resident birds in this charming setting.
      Final Stop at Lake Bumbunga – The Pink Lake: As we approach Adelaide, our final stop is at Lake Bumbunga, also known as the Pink Lake, in Lochiel. Capture the stunning hues of the pink lake, providing a picturesque end to our journey. Reflect on the memories made throughout this exploration of South Australia's diverse landscapes before concluding our unforgettable tour.

  [PRICING]
      All prices are in Australian Dollars (AUD) and include GST. Prices are subject to change prior to making your booking. Rates are per person based on twin share accommodation. Solo travellers requesting single accommodation, or if a travelling companion cancels, are required to pay a single supplement.

  EMPTY (15): WHAT'S NOT INCLUDED, EXTRAS, WHAT TO BRING, DURATION, CANCELLATION, CHECK IN, ACCESSIBILITY, RESTRICTIONS, SPECIAL REQUIREMENTS, FAQS, DISCLAIMERS, HEALTH & SAFETY, CONTACT, MEETING POINT, GROUP SIZE
    ^ the supplier wrote no heading for these. Their text, if any,
      is in ABOUT above -- nothing was dropped.


==============================================================================
PF008R   hoponhopoffwinetours
Queenstown Hop on Hop off Wine and Beer Tour
==============================================================================
  RETENTION  96.4%   FILL RATE  19.0% (4/21 fields)   FINDINGS 3
  30 headings | 834 words | raw file: Rezdy-hoponhopoffwinetours-PF008R.json

  ISSUES FOUND (CANDIDATE -- verify against the text below)
    [NO HEADING] redo_desc_itinerary filled but no heading names it
    [CONTENT LOSS] Afternoon Tour (half day): Please have a close look at all the stops below as some of them require bookings in advance.
    [CONTENT LOSS] Afternoon Tour (half day): We have attached all their contact details for you. We always recommend pre booking lunch and some tastings.

------------------------------------------------------------------------------
SUPPLIER TEXT (what the model was given)
------------------------------------------------------------------------------
    Please be aware we have now added a $10 fuel fee due to the on going increase to gas prices..
    Enjoy the delights of Queenstown! Our biggest advantage is that we never rush you. Take your time and enjoy freedom of movement, just follow our simple bus timetable. This is a self guided tour – you pay for your own tastings and lunch. Simply choose your pick up stop!
    **For Sunday - Friday:**
    [https://hoponhopoffwinetours.com/maps/queenstown-wine-tour/](https://hoponhopoffwinetours.com/maps/queenstown-wine-tour/)
    **For Saturday:**
    [ https://hoponhopoffwinetours.com/maps/queenstown-saturday-map/](https://hoponhopoffwinetours.com/maps/queenstown-saturday-map/)
    **Full Day Tours**
    Start Times: 10.30am and 11.20am
    Duration: 6 to 7 hours approximately
    **Afternoon Tour (half day) **
    Start Time: 12.10pm
    Duration: 4-5 hours approximately
    Please have a close look at all the stops below as some of them require bookings in advance. We have attached all their contact details for you. We always recommend pre booking lunch and some tastings.
    Groups of 8 or more are welcome to travel on our tour. Please call us on 0800 6937 2273 to let us know where you have booked. This is due to logistics and numbers in our buses. For larger sized groups we recommend pre-booking all stops to avoid disappointment on the day.
    ## STOPS
    ## 1. Shotover Jet (+64 3 442 8570) or (info@shotoverjet.com)
    Open: 10am-4pm DAILY. Bookings required
    **2. Canyon Food & Brew Co. (+64 3 442 8692) or (hello@canyonbrewing.co.nz) **
    Open: Sun-Wed 11am-8pm, Fri-Sat 11am – 9pm ([Canyon](https://canyonbrewingqt.co.nz/pages/brewery) is open for Hop on Hop clients from 10.45am)
    ## 3. Strike Bowl (+64 3 409 2135) or (strikebowlsrcp@swiss-belhotel.com)
    Open: 12pm-8pm DAILY. Bookings required
    ## 4. Gantley’s Tavern (+64 3 428 2569) or (booking@gantleystavern.co.nz).
    Open: 9am-late DAILY
    ## 5. Arrowtown
    This little village is an[ historical gold mining town](http://www.arrowtown.com/). Wonderful place to relax, dine and shop. A
    ## 6. Rifters (021 0299 5056) or (philip@arrowtowndistillery.com)
    Open: Thurs-Sun 12pm-4pm
    ## 7. The Winery – Arrowtown (+64 3 428 2572) or (online@thewinery.co.nz)
    Open: Sun-Thursday 10.30am-8pm, Frid-Sat 10.30am-9pm. Bookings are not required unless there is a large group.
    **8. Ayrburn (0800 2972876) or (reservations@ayrburn.com) **
    Open: 10am-6.30pm DAILY (wine tastings)
    **9. ** **Mora Artisan Kitchen (+64 3 442 1090) or (restaurant@mora-artisan.co.nz)**
    Restaurant open: 9am-5pm DAILY
    ## 10. Amisfield Bistro & Cellar Door For Restaurant bookings only (+64 3 442 0556) or (restaurant@amisfield.co.nz)
    Restaurant open: lunch Wed-Sun 12pm-3pm, dinner Wed -Sat from 6pm. Bookings are essential For lunch only.
    ## 11. Nockie’s Palette & Stoneridge (+64 3 669 2277) or (cellardoor@nockiespalette.com)
    Open Mon-Sun 11am-5pm. Bookings required.
    12. AJ Hackett Bungy (0800 286 4958) or (info@bungy.co.nz)
    Open: DAILY. Bookings required to jump.
    ## 13. Gibbston Valley Winery (+64 3 442 6910) or (info@gibbstonvalley.com)
    Open: 10am-5pm. Tasting bookings are not required unless there is a large group.
    ## 14. The Church Cellar Door and Cafe (027 213 1855) or (info@thechurchcellardoor.co.nz)
    ## This stop is no longer available.
    ## 15. Mt Rosa Wines (+64 3 441 2493) or (cellardoor@mtrosa.co.nz)
    Open: 11am-5pm DAILY. Bookings required.
    ## 16. Waitiri Creek (+64 027 446 946) or (Info@waitiricreekwines.co.nz)
    Open: Cellar door open daily from 11:00 AM to 6:00 PM
    ## 17. Brennan Wines: (+64 3 442 4315) or (cellardoor@brennanwines.com)
    Open: Tues-Sun 11:00am-5pm. Bookings are not required unless there is a large group.
    ## 18. Kinross Cellar Door & Bistro (0800 131 101) or (wine@kinross.nz)
    Open: 10am DAILY. Bookings Required for lunch and tastings.
    **19. Gibbston Tavern (+ 64 3 409 0508) or (bookings@gibbstontavern.co.nz)**
    Open 7 days: Sunday – Thursday: 11am- 6pm. Friday- Saturday: 11am- 8pm
    ## 20. [Rockburn Cellar Door](https://www.rockburn.co.nz/) : CLOSED on 15th June, 2025! Moved to Cromwell
    ## 21. Gibbston Valley Winery (+64 3 442 6910) or (info@gibbstonvalley.com) OUT OF VALLEY
    Open: 10am-5pm. Tasting bookings are not required unless there is a large group.
    ## 22. Nockie’s Palette & Stoneridge (+64 3 669 2277) or (cellardoor@nockiespalette.com)
    Open Mon-Sund 11am-5pm. Bookings required.
    ## 23. The Crown Pub & Beer Garden (+64 441 4334) or (info@thepub.nz)
    Open: 11am – till late DAILY. Bookings not required except for large groups.
    ## 24. The Frankton Arm Tavern (+64 442 2099) or (hello@republichospitality.co.nz)
    Open: Mon-Sat 11am-12am, Sun 11am-11pm.
    ## 25. Altitude Brewing (Marina Heights bus stop) (+64 3 442 4507) or (beerplease@altitudebrewing.co.nz)
    Open: Sun & Wed-Thurs 11am- 8pm, Fri-Sat 12pm-10pm. Bookings are not required unless there is a large group.
    **TERMS & CONDITIONS**
    **Prior to the day: **
    This is a self guided tour - All tastings are the guests responsibility and at the guests expense. Some wineries will waiver the tasting fee when purchasing wine. We recommend booking lunch prior to the day and bringing water with you to stay hydrated. Please note that we cannot accommodate backpacks, luggage, wheelchairs and large prams on board our buses.
    **Cancellation Policy: **
    Cancellations received more than 14 days prior to departure are fully refunded.
    Cancellation received less than 14 days prior to departure will be charged full price. Upon communication with the booking team, we will endeavour to offer a new date for your Hop on Hop off Wine Tours. 14 day period tickets are non-refundable, if you cancel outside this time frame, you will receive a full refund.

------------------------------------------------------------------------------
EXTRACTED
------------------------------------------------------------------------------

  [ABOUT / DESCRIPTION]
      Please be aware we have now added a $10 fuel fee due to the on going increase to gas prices..
      Enjoy the delights of Queenstown! Our biggest advantage is that we never rush you. Take your time and enjoy freedom of movement, just follow our simple bus timetable. This is a self guided tour – you pay for your own tastings and lunch. Simply choose your pick up stop!
      For Sunday - Friday: https://hoponhopoffwinetours.com/maps/queenstown-wine-tour/ (https://hoponhopoffwinetours.com/maps/queenstown-wine-tour/)
      For Saturday: https://hoponhopoffwinetours.com/maps/queenstown-saturday-map/ (https://hoponhopoffwinetours.com/maps/queenstown-saturday-map/)
      Full Day Tours
      Start Times: 10.30am and 11.20am
      Afternoon Tour (half day)
      Start Time: 12.10pm
      Groups of 8 or more are welcome to travel on our tour. Please call us on 0800 6937 2273 to let us know where you have booked. This is due to logistics and numbers in our buses. For larger sized groups we recommend pre-booking all stops to avoid disappointment on the day.

  [ITINERARY]
      1. Shotover Jet (+64 3 442 8570) or (info@shotoverjet.com)
      Open: 10am-4pm DAILY. Bookings required
      2. Canyon Food & Brew Co. (+64 3 442 8692) or (hello@canyonbrewing.co.nz)
      Open: Sun-Wed 11am-8pm, Fri-Sat 11am – 9pm (Canyon (https://canyonbrewingqt.co.nz/pages/brewery) is open for Hop on Hop clients from 10.45am)
      3. Strike Bowl (+64 3 409 2135) or (strikebowlsrcp@swiss-belhotel.com)
      Open: 12pm-8pm DAILY. Bookings required
      4. Gantley’s Tavern (+64 3 428 2569) or (booking@gantleystavern.co.nz).
      Open: 9am-late DAILY
      5. Arrowtown
      This little village is an historical gold mining town (http://www.arrowtown.com/). Wonderful place to relax, dine and shop. A
      6. Rifters (021 0299 5056) or (philip@arrowtowndistillery.com)
      Open: Thurs-Sun 12pm-4pm
      7. The Winery – Arrowtown (+64 3 428 2572) or (online@thewinery.co.nz)
      Open: Sun-Thursday 10.30am-8pm, Frid-Sat 10.30am-9pm. Bookings are not required unless there is a large group.
      8. Ayrburn (0800 2972876) or (reservations@ayrburn.com)
      Open: 10am-6.30pm DAILY (wine tastings)
      9. Mora Artisan Kitchen (+64 3 442 1090) or (restaurant@mora-artisan.co.nz)
      Restaurant open: 9am-5pm DAILY
      10. Amisfield Bistro & Cellar Door For Restaurant bookings only (+64 3 442 0556) or (restaurant@amisfield.co.nz)
      Restaurant open: lunch Wed-Sun 12pm-3pm, dinner Wed -Sat from 6pm. Bookings are essential For lunch only.
      11. Nockie’s Palette & Stoneridge (+64 3 669 2277) or (cellardoor@nockiespalette.com)
      Open Mon-Sun 11am-5pm. Bookings required.
      12. AJ Hackett Bungy (0800 286 4958) or (info@bungy.co.nz)
      Open: DAILY. Bookings required to jump.
      13. Gibbston Valley Winery (+64 3 442 6910) or (info@gibbstonvalley.com)
      Open: 10am-5pm. Tasting bookings are not required unless there is a large group.
      14. The Church Cellar Door and Cafe (027 213 1855) or (info@thechurchcellardoor.co.nz)
      This stop is no longer available.
      15. Mt Rosa Wines (+64 3 441 2493) or (cellardoor@mtrosa.co.nz)
      Open: 11am-5pm DAILY. Bookings required.
      16. Waitiri Creek (+64 027 446 946) or (Info@waitiricreekwines.co.nz)
      Open: Cellar door open daily from 11:00 AM to 6:00 PM
      17. Brennan Wines: (+64 3 442 4315) or (cellardoor@brennanwines.com)
      Open: Tues-Sun 11:00am-5pm. Bookings are not required unless there is a large group.
      18. Kinross Cellar Door & Bistro (0800 131 101) or (wine@kinross.nz)
      Open: 10am DAILY. Bookings Required for lunch and tastings.
      19. Gibbston Tavern (+ 64 3 409 0508) or (bookings@gibbstontavern.co.nz)
      Open 7 days: Sunday – Thursday: 11am- 6pm. Friday- Saturday: 11am- 8pm
      20. Rockburn Cellar Door (https://www.rockburn.co.nz/) : CLOSED on 15th June, 2025! Moved to Cromwell
      21. Gibbston Valley Winery (+64 3 442 6910) or (info@gibbstonvalley.com) OUT OF VALLEY
      Open: 10am-5pm. Tasting bookings are not required unless there is a large group.
      22. Nockie’s Palette & Stoneridge (+64 3 669 2277) or (cellardoor@nockiespalette.com)
      Open Mon-Sund 11am-5pm. Bookings required.
      23. The Crown Pub & Beer Garden (+64 441 4334) or (info@thepub.nz)
      Open: 11am – till late DAILY. Bookings not required except for large groups.
      24. The Frankton Arm Tavern (+64 442 2099) or (hello@republichospitality.co.nz)
      Open: Mon-Sat 11am-12am, Sun 11am-11pm.
      25. Altitude Brewing (Marina Heights bus stop) (+64 3 442 4507) or (beerplease@altitudebrewing.co.nz)
      Open: Sun & Wed-Thurs 11am- 8pm, Fri-Sat 12pm-10pm. Bookings are not required unless there is a large group.

  [DURATION]
      Duration: 6 to 7 hours approximately
      Duration: 4-5 hours approximately

  [DISCLAIMERS]
      Prior to the day:
      This is a self guided tour - All tastings are the guests responsibility and at the guests expense. Some wineries will waiver the tasting fee when purchasing wine. We recommend booking lunch prior to the day and bringing water with you to stay hydrated. Please note that we cannot accommodate backpacks, luggage, wheelchairs and large prams on board our buses.
      Cancellation Policy:
      Cancellations received more than 14 days prior to departure are fully refunded.
      Cancellation received less than 14 days prior to departure will be charged full price. Upon communication with the booking team, we will endeavour to offer a new date for your Hop on Hop off Wine Tours. 14 day period tickets are non-refundable, if you cancel outside this time frame, you will receive a full refund.

  EMPTY (17): IMPORTANT INFO, HIGHLIGHTS, WHAT'S INCLUDED, WHAT'S NOT INCLUDED, EXTRAS, WHAT TO BRING, CANCELLATION, CHECK IN, ACCESSIBILITY, RESTRICTIONS, SPECIAL REQUIREMENTS, FAQS, PRICING, HEALTH & SAFETY, CONTACT, MEETING POINT, GROUP SIZE
    ^ the supplier wrote no heading for these. Their text, if any,
      is in ABOUT above -- nothing was dropped.


==============================================================================
PS0MP2   wildescapestasmania
Tasman Peninsula Small-Group Guided Tour & Shore Excursions
==============================================================================
  RETENTION  97.5%   FILL RATE  28.6% (6/21 fields)   FINDINGS 4
  30 headings | 726 words | raw file: Rezdy-wildescapestasmania-PS0MP2.json

  ISSUES FOUND (CANDIDATE -- verify against the text below)
    [NO HEADING] redo_desc_what_included filled but no heading names it
    [NO HEADING] redo_desc_what_excluded filled but no heading names it
    [URL LOST] https://zh.wikipedia.org/wiki/%E4%BA%9A%E7%91%9F%E6%B8%AF_(%E5%A1%94%E6%96%AF%E6%9B%BC%E5%B0%BC%E4%BA%9A%E5%B7%9E
    [CONTENT LOSS] 中文導覽行程: 1830年代初，歐洲人在半島的[亞瑟港](https://zh.wikipedia.org/wiki/%E4%BA%9A%E7%91%9F%E6%B8%AF_(%E5%A1%94%E6%96%AF%E6%9B%BC%E5%B0%BC%E4%BA%9A%E5%B7%9E))建立了第一個居住地。由於它在地理上孤立於其他的殖民地，因此被選為關押犯人的地方，並且相比位於

------------------------------------------------------------------------------
SUPPLIER TEXT (what the model was given)
------------------------------------------------------------------------------
    ## Tasman Peninsula Day Tour :
    **Duration: **
    **8 hrs (Normal Itinerary)**
    **6-6.5 hrs(Cruise Ships Excursions)**
    This is a remarkable opportunity to explore untamed nature and completely immerse yourself in breathtaking landscapes. Tasmania boasts an incredible array of biodiversity, with ancient forests and pristine oceans that have thrived for millions of years. Our tours provide an intimate outdoor experience, allowing you to reconnect with nature through leisurely walks in the stunning Tasman National Park. Tasmania offers a truly wild and invigorating environment—why not experience it firsthand and breathe in the crisp, fresh air?
    ● Spectacular coastal scenery and high cliffs
    ● Encounter wildlife and enjoy guide insights
    ● Island vibes sharing and caring
    ● Beautiful local food and shops
    ## What is Include:
    National Park Pass ｜Air-con Bus ｜Guided Tour
    **What is Not Include:**
    Lunch｜Personal Expense ｜Travel Insurance
    **Pick Up Point**
    **Prices Wharf to Tasman Peninsula**
    **Princes Wharf No. 1, Castray Esplanade, Hobart**
    ****Tour starts from 08:30am///Hotel Pick-Up is available****
    ## Itinerary:
    **Tasman Bay National Park Lookout**
    Entering into a spectacular view of the ocean
    and land. Enjoy tea/coffee in these beautiful places.
    **Tessellated Pavement**
    Tessellated pavement is extremely rare. This
    natural phenomenon is only found in a few places on Earth where rocks have
    fractured into polygonal blocks and appear just like man-made tiles. The place
    is also famous for sunrise and sunset.
    **Tasman Arch｜Devil's Kitchen**
    Tasmans Arch is a tall natural bridge in the sea
    cliffs of the Tasman Peninsula, that has also been carved out by the Tasman
    Sea. This beautiful geological formation is one of many that can be visited at
    Eaglehawk Neck and along the eastern side of the Tasman Peninsula. ps: Optional
    to Waterfall Bay lookout
    **Port Arthur Lavender** **Farm**
    Lunch or cup of coffee with a beautiful
    experience of lavender. It is worth having the ice cream and the Lavender
    products in the shop.
    **Remarkable Cave**
    Enjoy the vista from Maignon Bay Lookout of the
    rugged southern coastline before descending the steps to the spectacular
    Remarkable Cave. Enjoy a 15-minute walk return and be prepared to get a little
    wet!
    **Tasmanian Chocolate Foundry**
    Nestled in the heart of the Tasman Peninsula in
    Taranna on the rugged East Coast of Tasmania you will find the perfect stop on
    your travels. The Tasmanian Chocolate Foundry manufactures a large range of
    hand-forged chocolate products. Indulge yourself in all things chocolate, using
    the finest Belgian Coverture chocolate there is sure to be something to
    tantalize the tastebuds.
    **Drop off point & time to say goodbye**
    The tour is heading back to the starting point.
    ## **Tasman Peninsula Shore Excursion:** Discover Tasmania’s wild coastline straight from your cruise ship! Our Tasman Peninsula Shore Excursion offers a seamless, small-group adventure designed for cruise passengers. Explore dramatic sea cliffs, visit historic Port Arthur, encounter local wildlife, and experience the island’s untamed beauty — all within your cruise schedule. Personalized, flexible, and unforgettable — this is Tasmania beyond the ordinary.
    - **Cruise-friendly pick-up and return** — tours designed to fit your cruise schedule.
    - **Small-group experience** — personalized and comfortable travel.
    - **Explore Tasmania’s wild coastline** — including the stunning Tasman Peninsula.
    - **Visit historic Port Arthur** — rich in heritage and stories.
    - **Encounter local wildlife** — seals, dolphins, seabirds, and more.
    - **Authentic Tasmanian adventure** — connecting nature, history, and local life.
    - **Seamless, flexible, and unforgettable** — ideal for cruise passengers seeking more than just sightseeing.
    ## Cruise Ships - Pick Up &Ｄrop Off Point : Mac 02 /// 18 Hunter St, Hobart TAS 7000 Pick Up Time: 0800am-0830am
    ## Total Tour Duration: 6hr-6.5hr
    ## 中文導覽行程:
    雖然該地區以[荷蘭](https://zh.wikipedia.org/wiki/%E8%8D%B7%E5%85%B0)探險家[阿貝爾·塔斯曼](https://zh.wikipedia.org/wiki/%E9%98%BF%E8%B4%9D%E5%B0%94%C2%B7%E5%A1%94%E6%96%AF%E6%9B%BC)的名字命名，在歐洲人到來之前，這一地區居民的原住民為派德雷麥（pyder-remer ）人。他們居住的地方現在稱為塔斯曼和福里斯蒂爾半島。
    1830年代初，歐洲人在半島的[亞瑟港](https://zh.wikipedia.org/wiki/%E4%BA%9A%E7%91%9F%E6%B8%AF_(%E5%A1%94%E6%96%AF%E6%9B%BC%E5%B0%BC%E4%BA%9A%E5%B7%9E))建立了第一個居住地。由於它在地理上孤立於其他的殖民地，因此被選為關押犯人的地方，並且相比位於西海岸的另一個關押犯人地點[麥格理港](https://zh.wikipedia.org/wiki/%E9%BA%A6%E6%A0%BC%E7%90%86%E6%B8%AF)，從海上更容易到達這裡。它還提供優良的製作船隻和其他建築工程的木材，並且是一個深水港，可用於英國軍艦的修復。在鷹頸設立警衛和警犬後，罪犯就很難逃脫。
    亞瑟港的犯人關押地如今已經成為一個旅遊景點。和大部分洲一樣，旅遊已經成為一個主要產業。在政府大力積極推動觀光的促使下，塔斯曼半島擁有著塔斯人的後山與後花園之稱。由於動、植物種的多樣化，這裡是研究家長年觀察的基地。再來就是擁有著多樣化的天然地形和健走山巒，著名的健走行程『Three Capes Track』就是坐落於此。每年吸引者大量的遊客來此親自見證這大自然的鬼斧神工，配合國家公園每一年在健走步道上的更新建設。塔斯曼半島已經成為非常成熟的一日旅遊/多日旅遊的必要觀光勝地。
    ## 行程景點:
    Tasman Bay National Park Lookout
    塔斯曼半島/
    享受半島觀景台山與海的結合
    《春、夏季每週三到周天有咖啡小車Cubed. Espresso Bar的陪伴》冬季營業時間不同
    Tessellated Pavement
    棋盤岩石/
    是一種特殊的海洋景象，這裡是海洋保護區
    沉浸在大自然的鬼斧神工下所刻畫的美麗海岸線，旅人特別喜歡在日出與日落拍下她美麗動人的面貌
    Devil's Kitchen
    塔斯曼拱門/
    體驗侏儸紀時期的岩石峭壁
    玄武岩的質地給這海岸線帶來無可比擬的風景
    沿岸海浪不斷地拍打，鍛造出奇特的海蝕洞景象
    Port Arthur Lavender/ Enjoy a Beautiful LUNCH in Lavender Farm
    午餐/亞瑟港薰衣草花園
    享受在美麗的薰衣草花園裡用餐，這裡每一項食品與產品都是農場主人用心經營的結晶
    Remarkable Cave
    非凡洞穴/
    擁有最經典的海蝕洞景象，從洞口探出去隱約可以看見塔斯馬尼亞的形狀
    在每個月最低潮的時刻有機會可以步行探索海蝕洞的樣貌，是個典型的海岸洞穴
    Tasmanian Chocolate Foundry
    塔斯曼巧克力工廠/
    這裡的巧克力都是純手工製作而成，巧克力本身是源自於比利時
    入口即化、絲滑順口，每一口都能感受到職人用心的態度
    此店不僅有食用的巧克力，還有實用的巧克力商品。例如: 肥皂、香精、茶葉等等。另外，還能夠體驗到塔斯馬尼亞的冰淇淋的魅力
    ## 行程包含:
    國家公園入園證/
    空調冷氣小巴士/
    x1 飲用水/人
    ## 行程不包含:
    各人消費/
    中餐/
    ## **集合地點**✨** **Prices Wharf to Tasman Peninsula / Bruny Island** **Princes Wharf No. 1, Castray Esplanade, Hobart** ****行程出發時間 0830 a.m.** ///** ****飯店接駁OK** 
    ## 塔斯曼半島岸上觀光行程: (從荷巴特港口出發) 
